id	token	kind
1	gato	sujeto
2	perro	sujeto
3	hamster	sujeto
4	halcon	sujeto
5	aguila	sujeto
6	pajaro	sujeto
7	cuervo	sujeto
8	mirlo	sujeto
9	leon	sujeto
10	tigre	sujeto
11	lobo	sujeto
12	pez	sujeto
13	tiburon	sujeto
14	salmon	sujeto
15	delfin	sujeto
16	ballena	sujeto
17	foca	sujeto
20	vive_con	relacion
21	tiene	relacion
22	come	relacion
23	es	relacion
24	vive_en	relacion
25	respira	relacion
26	dieta	relacion
40	humanos	objeto
41	plumas	objeto
42	negro	objeto
43	carne	objeto
44	carnivoro	objeto
45	agua	objeto
46	branquias	objeto
47	mamifero	objeto
48	pulmones	objeto
60	duerme_en	relacion
61	casa	objeto
62	nido	objeto
63	torre	objeto
